address,timestamp,amount,type
0x55c1568efd6d19edec498330952fa7e582fea20a,93542028,1907914669113520000000000,EOA
0xc06320d9028f851c6ce46e43f04aff0a426f446c,95874480,1376649720265570000000000,EOA
0x4f83c87083ccceb90bc105040169f7a0bb74911a,92483262,751405460259156000000000,EOA
0x044325aCCB1A131cD00B4Cef674E9a8d9b60ad72,108359614,620198111239837000000000,Contract
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298435,394702842745284000000000,Contract
0xdb9d281c3d29baa9587f5dac99dd982156913913,85951772,275423967224771000000000,EOA
0x066188948681d38f88441a80e3823dd41155211c,86094182,268027339983772000000000,EOA
0xe70981f2aeb601a12001465c7a5e52aa76adcbec,88177969,250385424749792000000000,EOA
0x312f81f9a90427f9967f476712795d55e3f89e9c,90807620,184826844221143000000000,EOA
0x5d22db0ddc365dbdc0983441e2906d51855a142d,103935338,143971619231130000000000,EOA
0x0f89e880c863d5ad296df064f65fc78f7108ffc8,85967686,125192712374896000000000,EOA
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,101291952,97018878338879000000000,EOA
0x6523a02072d736535148aa67db26f80c2e456547,87614004,88431952883359000000000,EOA
0xdfc423a316b2f4ee73632f7c2edf2f6328537e8b,87795250,75115627424937500000000,EOA
0xa1a7ae2f202c5762f3c4ee2fed99e3f42c6f1f1f,47582599,54965999123345500000000,EOA
0x80b3153f39aeec1ef68adc038913698e103e6e1d,87261458,54283256329733500000000,EOA
0x1ace35d5350da1b71bd7e9e7f5a09ff6cf14d2d6,49145063,52637839884376400000000,EOA
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,88856191,38615045894588800000000,EOA
0xc1d90c0a2d1ab8b58702f2faea4701f00ac505d0,86117442,38170347695843800000000,EOA
0x9a20a5b173b938f846b00875833af437dd7a1716,100674126,37933391975705900000000,EOA
0xcdf46720bdf30d6bd0912162677c865d4344b0ca,86437861,32636789925360400000000,EOA
0x36b13e73b6cdb2dc53b29d3e02066d3bc2016285,35460266,30992636752718800000000,EOA
0xa47dc3c86a77a41b9377fc5f6f6edd1d8f380f41,86107614,30390781314430700000000,EOA
0x5b181e9e67c4f09f5d0229a458db6b0c07f6184e,85697232,26795813848103200000000,EOA
0x8a3a27f7ed3594d7c1261e0d16112333d76b3a57,48412906,23647401055069300000000,EOA
0x77c4a515d6779f358d9c70b78c18715ee352cadc,73737746,22534688227481300000000,EOA
0x7da8e2a56901552a1affc74063569e533c6a77dc,97562640,21571303990193100000000,EOA
0xb2dd7f7a0c94364067ade38ab28ad18d124bb329,80759069,20361815493693900000000,EOA
0x94a468fcb53a043bf5cd95ef21892e02c71134be,99416972,20293756935533900000000,EOA
0xefc194772a4bdbcdc5871a56e5a86dcfec845788,85437026,18470655772578600000000,EOA
0xa054934e49470cdbfc6b4d886b990bcb2002a9b6,88368556,18146444933452000000000,EOA
0xBC59a167a5A56FB07f3Cf6BD3FACe4284D8c6505,92008088,17301765833992000000000,Contract
0xce5969ab83f70f32d477df7b92cc17fb19f25228,83086719,17257059871632600000000,EOA
0x1d7d6598c766485dc89746fd9bda82c21df128a9,90553123,16493706412208900000000,EOA
0x49e7bdde0e6f366fcc15577ee273af1dd0a578ba,51385552,15278849620806100000000,EOA
0x9cd25036e52f831115c77dcf0e6db69fca56bb04,56414697,15103450100912800000000,EOA
0x670647441d9c24d981923c9293a2e4eae6d0c8b3,77603940,15023125484987500000000,EOA
0x920fa53A88fA26d2658049794a84abc6185e6c69,77732674,15020266203713300000000,EOA
0xe0a46db77fe3932a901214bfa0a1389d3e996332,108396365,14959915628119400000000,EOA
0xc17e91dd86b427135f2694ed6a8bc86ee9d37c06,106172244,14538727973299900000000,EOA
0x8dcb8aae4aa1143531949cb7877235749d32804a,51501247,14535206150692900000000,EOA
0xde8aa7c820d767572837f5e43f385e98978233a4,83087251,14506059838004400000000,EOA
0xed3b439ca1787c1cd1855151c799d520d319d80d,66039168,14009064514750800000000,EOA
0xed8e4430689fe60bdc8a757dcf09bf12f9aff013,77565971,13803810998798800000000,EOA
0xd87ecc7533273877fc5b945453f9dfd32cb95509,86633597,13787315410163100000000,EOA
0xf39bc4acfbcee9c9de828416b5f060fe9f5d34f0,67670541,13487111351452900000000,EOA
0x284f36888fa58a0a36b132331a26f44f86487afd,87990451,12519271237489600000000,EOA
0xa580a81c881869cc4763968754683f764754902a,60950258,12519271237489600000000,EOA
0x6320d43fe9939efad4d48bfcdc63c06bafc2fe3d,40433828,12402716822268600000000,EOA
0x72d4d59f31d0cb4a4213a5dc81fc0108241ecc71,89175823,12059896972059500000000,EOA
0x4afb5daf1f6016ede27ebb838c45a759e0a4e4c4,84796687,11654099373914600000000,EOA
0xf826bc629d859af67736671274bfbf0967e36729,106042288,11291823297576300000000,EOA
0x8252d3c70f532bcb6a27001f3abb460ed7ebb066,79869708,11267344113740600000000,EOA
0x7c9edc93ec8b80b7dd1e548a476c6dcf676549be,81712448,11118705662777600000000,EOA
0xc92980d19e7399911f595053894408ad24380324,84213621,10156705112877900000000,EOA
0xaa4279b9364c541ffe47e53f1a8c8bdb7a78ec11,66430548,10086041269630200000000,EOA
0x88dcF2D87b1dc0f36435D57E9e589c19cA89b1ae,80724191,9817714035110440000000,EOA
0x53d72e45e4ba76838d36c49b88f046c6070c39e5,93562222,9703201600654880000000,EOA
0x11cC283d06FA762061df2B0D2f0787651ceef659,84870540,9527165411729580000000,Contract
0x99655ca16c742b46a4a05afaf0f7798c336fd279,86110183,9078621024898200000000,EOA
0x4656e28ed7c4aacd1e7fb98d3c8041d6de04c08f,83547797,8713145483827350000000,EOA
0xef114d9316274acff9c9ea00871af274b8994234,98317201,8250393375972350000000,EOA
0x780038507f662cc76646ceb7796c643efc393e98,83227832,7761948167243540000000,EOA
0x4127143a866bf5d8ad2afb6de8e63164b8ad5bf6,91373754,7600652790781700000000,EOA
0x7181c3302c07533639bbd81c4c490450c2668c3b,85380368,7214973183169130000000,EOA
0x9c0d72f2ac26420cb7eeb155bf401b672840e87b,84411043,7010393577312980000000,EOA
0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,93256030,6815747144635980000000,EOA
0x1b3f7964929dae299f194d46b7386b0df8f10db3,91901526,6755840843196110000000,EOA
0xe84adc0964ee34ce0319df3418636ed6a4117b97,92569253,6555681674389860000000,EOA
0xc06057acf5c722e961184d3eb751d93bada7d72c,48527864,6523713495719290000000,EOA
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,87855288,6450155311918990000000,EOA
0x4bed23c363f51c4ff842eb0c1cded2010e4491a5,78211290,6259635618744790000000,EOA
0xf0b2908c638bc18f018933928d079f930a3c976d,32523108,6025609833845360000000,EOA
0x3b3540c429e6cec4f63d161ad2788a7d4a9a7b2b,83298292,5523068492478880000000,EOA
0x231e6b09a4249c9dde585d1d664bb95adc3fc6ae,85667367,5459505198856310000000,EOA
0x030f249879c79331b7a154c48e27eedcd972bde9,85435997,5383286632120520000000,EOA
0x628476231e3a1b1277d7e07c84a6e997ba23a3a7,101986027,5300973018767000000000,EOA
0xe2faa5db450b621d27518c8f7d4b95fdf8690116,82401986,5124420887504670000000,EOA
0x03a1a0ee0e2a14bd069c8691a4adeabfa6a4d709,84200828,5053472795523770000000,EOA
0x5976340ae917c94f1b27a1c2e7b8c100067815e5,48110363,5020092463751130000000,EOA
0xd2ce2670a6428c9ba41c2878a498a2a8c0c1748c,52501856,5007739610122410000000,EOA
0x843988f65c0004b1e7de4f1fd1d255b0fe4a883e,85349643,4837618802504790000000,EOA
0x226e9da4b9c4dcbda571b5a01646c55ae0b5a52a,49658529,4820954540412040000000,EOA
0x441c6DF564072EDD4D3d543C6cFCFB0A0EE95F7c,82949799,4820373297926210000000,EOA
0x2fa01ba633c555f5b9452227153e5619c92316dd,92011877,4765251811959950000000,EOA
0x686d78620aa846b1bdb29dedaf94e2ab47208a04,47068084,4745504071804790000000,EOA
0x0dc3b66a3a6b9415c8041e4b77b7dfd041a9c30c,87290509,4695975689555730000000,EOA
0xe51a5ee79c1fc3907c3657b2243a427c40f70ad7,52346165,4628903116674560000000,EOA
0xb11e239910eaafa78fa925e566c20bc611fd4995,51436973,4607196325045780000000,EOA
0x7b70efc4bca9cc0733c1b615cf480e33f19119f2,88547514,4422821350943200000000,EOA
0x954cb370d4b53fa2948e90a202cc213d5b803cad,78532650,4376255889169110000000,EOA
0x61fdff48d154c6079e43cbf14027057b367cb3b2,102101213,4292732056544850000000,EOA
0x2526a6efeef588bdfb0d572d8c373dd71ef4e4f4,50516459,4211913888721040000000,EOA
0x78ad91e6f47e7697d4b8addd73fba6a7f23a7f5b,46460922,4177081087531100000000,EOA
0xfc0b58ab1af097c7c6ca45abb24a08108c438550,78247662,4107160538809540000000,EOA
0xfae772e7498b0cdfc4ea929da72333dcc0dd2517,97110889,4096429678669720000000,EOA
0xb96cacfc32aadb1c50fe4006cad32dda5f1016b9,80589308,4080813284791870000000,EOA
0xc0893fa01108f50fa2a04e2ccee815376ec56233,94075612,3881314909134430000000,EOA
0xe157fa0435b04e3e7fb5bb1878e55fb569f30fc8,80003998,3766951690585140000000,EOA
0xac1b80e06f970879bfb8f2b92b59442593f332b6,83619225,3720519528825810000000,EOA
0xa3a62293bdec8d723cd512274ddf6792bbf0dbac,54674541,3667905288213670000000,EOA
0x4b45de182c358d0a8f0819a2cf74487a8ea4b72c,87518098,3623542295561030000000,EOA
0x73f13990070d5dd94c8e4ea9562f2d617d0487d7,80825852,3596253337822300000000,EOA
0x0e54edd4cf6568de41fc67eaa71aeb52885999c7,81898361,3584886628271270000000,EOA
0x389ec0bd4179dc95ede96716bc63cd4bb7c49377,86387871,3558481034049010000000,EOA
0xb063608c9eb40c21beabe18b214714e0a8f28ced,47523331,3503435908744930000000,EOA
0x00e839bc0c9a130afe30974914c4b0100756cff4,83771455,3493769446204400000000,EOA
0x3280e3da7aebc769cf788de7ef8a192365532f9b,52555497,3467460511588170000000,EOA
0x0b128f624078f9e7a1dcd58a275b445f57f20df8,83485603,3439180864267030000000,EOA
0x1714c8b220bf40e1bedcf3f7713132b6d42e7bd1,29387905,3415799662133290000000,EOA
0x98ede5a956f7dd2d540a7872e5b7b9471bda20a3,82359215,3404322097299510000000,EOA
0x3d1df542e606c2981b6acae463afaed9d9ef1129,85050676,3401675814216160000000,EOA
0x943799a3d65c2f6e88c849a4a10a14eb39b007bf,82283482,3381829308106250000000,EOA
0xb8b5678fb2ed1df5f8e04dd418d255796b97e6c1,108198068,3373386322272480000000,EOA
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,87272747,3356057958542210000000,EOA
0x259380175dbd94dfafe6640526348ffd305de8bf,86446896,3328798992614280000000,EOA
0x8bcf10d5bd8a0ff835221dd2a9c794b435c52813,84585273,3277011011409180000000,EOA
0xb1028c2d61337589e515d6bdb949ed97935518b2,96362511,3249520264846420000000,EOA
0x60fba3b1d069e1317d2b4b718739e280fbad9896,108476989,3129817809373450000000,EOA
0x3d7849a51a2da3b3b455ca6a6d604c902f82e7c2,33338155,3092221681788880000000,EOA
0x073aba73177668ba1c6661a4ccddbf77dfc8809a,85191939,3012416599025150000000,EOA
0x0621e9d8f6ac96098cdf413289c5e11b9130309a,23683689,2980122562590770000000,EOA
0x3fa05ef7652ad855facbec056a5889a64e366e2d,49980379,2967067283285030000000,EOA
0x3a1bbd14c1c0e2ebf7cd906961d122dadd5448a7,81872081,2889872208775040000000,EOA
0x926253f534ff911348c5271b7c380884cab648ad,84868562,2882455769349210000000,EOA
0x78e87757861185ec5e8c0ef6bf0c69fa7832df6c,108087937,2829872127499440000000,EOA
0x0933f554312c7bcb86df896c46a44ac2381383d1,85909721,2781967632568340000000,EOA
0x369606edde71fb6ec43353330796544852bad340,91719368,2754239672247710000000,EOA
0xbc2a0913b30283c2c680cfc332c8d85399228e23,85948226,2734440028722220000000,EOA
0x5a577dd5a90be0feba8b596e2509289df8cbaff7,82921410,2683935821674690000000,EOA
0x8615ecb2b27bfde5e48536e25340379e60c04cda,96309341,2654569529509680000000,EOA
0x3b775b6fb97e1229b82709eefd25b0d33831a738,62105915,2629603730818310000000,EOA
0x9c57027b1eca93093a6f446422c59c85a5a3fa52,108193636,2624470481793180000000,EOA
0x2f707265e61300e8290c18e38ebcbd129fb0b0f5,90045538,2608089344254900000000,EOA
0xbcc181046fd96ccadf0cebe30d4ff67d4373a126,90869856,2567414724559750000000,EOA
0x37fabdb1d081f0a69ffd2a9525d71cf220041dd4,81674887,2541003302994930000000,EOA
0x97b342386b4291d22f5bf573715bdc23d38b173f,87535492,2516870071625670000000,EOA
0x96f249bcf74b349db4b41fc192d25fe84b4520c1,44929811,2506399667991860000000,EOA
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,85023435,2503854247497920000000,EOA
0x40f75477bc81a921f830835dda7efec0e7489c62,48150263,2503854247497920000000,EOA
0xec23615309aa1f56d5d01647e9c5d562ff375ba0,83568006,2485462509536860000000,EOA
0x203b355b1edeb6242011a620bf50c19a6af4f42b,78883708,2482322813458210000000,EOA
0x8565faab405b06936014c8b6bd5ab60376cc051b,84701083,2451273308300460000000,EOA
0x3b202b464616791d2eb1417f9dc40497b6fdd6e9,84548142,2363388024213280000000,EOA
0x7a03b2e8ace63164896717c1b22647aa450954a7,78274422,2322284134936060000000,EOA
0x03e9a17304a1c1fe229965616b7dddcd96579a29,48664874,2307471955755940000000,EOA
0x32f8c8b40b62a73d514e8be0f58074edba533937,81565534,2271151596198700000000,EOA
0xda764491b90207dc2743f8efc5b28543dc5d857a,29486801,2253468822748130000000,EOA
0x1993253bf4f1dfdcd0258a324bff554e6a44a385,99870604,2246700580336220000000,EOA
0x605f302bcd8f53024713282fced7270d95a6fe4c,59241723,2209146906512190000000,EOA
0x27c7e71aef0dc5cbcf7af511f3abac8ee6845685,87514420,2161494196030390000000,EOA
0xfda906bd24eb4d7fd31030f692b797cc681306c9,87535469,2116865123863560000000,EOA
0xad32bc446cc906bfd5f74914f5bd9cbd1443bcd6,84127864,2085850700012090000000,EOA
0x74c7eeed32c2def8f932053eb2137fb59a28fb17,45855872,2076416583640800000000,EOA
0x86341e73d9deb4696b1ae50dbce8f2d62fa06023,35474545,2069843180497070000000,EOA
0x93a79ae91740c54b1221bdb2b44be1cb5eb8ff52,100393360,2061250176707210000000,EOA
0x0d58c2e7b04aba6b64dd21057af573bc3255e12f,86254203,2057806046203010000000,EOA
0x862606a6012fa68019ee26ce4a3b35bc2684beb4,91031580,2054278791019030000000,EOA
0x7795c0475faf6c360c4a5748173c72c4f27424f3,78020606,2048405903965140000000,EOA
0xdec79cee4397202739ed948ef98846774feb53f9,93167930,2031971887990900000000,EOA
0x601cc773c1cb38673be5cbc75ecb3a1b2a79afec,86230805,1990680926334470000000,EOA
0x5f82c97e9b1755237692a946ae814998bc0e2124,41774002,1975188992633810000000,EOA
0x9753dc0c13b3685833756a3cb0006d5ef3e78458,89778289,1964907218610640000000,EOA
0x2ea2ce595bd68a0cd1fd34b06df98970952fe4d2,105975773,1947030876234350000000,EOA
0x58a7ccd4bc5d561b89606909456f23bbfc9aaade,46878726,1946129220232550000000,EOA
