Total QI locked,"72,311,886",,,,,,,
"QI locked, not counting liquid lockers","65,758,243",,,,,,,
QI locked by liquid lockers,"6,553,642",,,,,,,
Total QI to be distributed (80%),"57,849,509",,,,,,,
Total BPT tokens for aveQI migration,"9,052,921",,,,,,,
Share of BPTs distributed to non-liquid lockers,90.94%,,,,,,,
Share of BPTs distributed to liquid lockers,9.06%,,,,,,,
Total BPT tokens distributed to non-liquid lockers,"8,232,453",,,,,,,
Total BPT tokens distributed to liquid lockers,"820,468",,,,,,,
,,,,,,,,
address,polygon endblock,amount,share of total BPTs,share of non-liquid locker BPTs,share of liquid locker BPTs,amount of non-liquid locker distribution,amount of liquid locker distribution,type
0x55c1568efd6d19edec498330952fa7e582fea20a,93542028,"15,239,822.13",21.0751276%,23.1755311%,NA,"1,907,914.6691135",,EOA
0xc06320d9028f851c6ce46e43f04aff0a426f446c,95874480,"10,996,244.86",15.2066908%,16.7222303%,NA,"1,376,649.7202656",,EOA
0x4f83c87083ccceb90bc105040169f7a0bb74911a,92483262,"6,001,990.42",8.3001437%,9.1273582%,NA,"751,405.4602592",,EOA
0x044325aCCB1A131cD00B4Cef674E9a8d9b60ad72,108359614,"4,631,601.03",6.4050342%,7.0433771%,NA,"579,842.6961531",,Contract
Beefy,108535639,"3,780,322.16",5.2278019%,NA,57.6827659%,NA,"473,268.7844794",Contract
0xdb9d281c3d29baa9587f5dac99dd982156913913,85951772,"2,200,000.00",3.0423768%,3.3455882%,NA,"275,423.9672248",,EOA
0x066188948681d38f88441a80e3823dd41155211c,86094182,"2,140,918.07",2.9606724%,3.2557410%,NA,"268,027.3399838",,EOA
0xe70981f2aeb601a12001465c7a5e52aa76adcbec,88177969,"2,000,000.00",2.7657971%,3.0414438%,NA,"250,385.4247498",,EOA
Tetu,105431496,"1,882,339.73",2.6030848%,NA,28.7220393%,NA,"235,655.2158891",Contract
0x312f81f9a90427f9967f476712795d55e3f89e9c,90807620,"1,476,338.68",2.0416266%,2.2451006%,NA,"184,826.8442211",,EOA
0x5d22db0ddc365dbdc0983441e2906d51855a142d,103935338,"1,150,000.00",1.5903333%,1.7488302%,NA,"143,971.6192311",,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298435,"1,000,000.00",1.3828985%,1.5207219%,NA,"125,192.7123749",,Contract
0x0f89e880c863d5ad296df064f65fc78f7108ffc8,85967686,"1,000,000.00",1.3828985%,1.5207219%,NA,"125,192.7123749",,EOA
Gotchi,100465000,"890,980.44",1.2321355%,NA,13.5951948%,NA,"111,544.2577344",Contract
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,101291952,"774,956.28",1.0716859%,1.1784930%,NA,"97,018.8783389",,EOA
0x6523a02072d736535148aa67db26f80c2e456547,87614004,"706,366.62",0.9768334%,1.0741872%,NA,"88,431.9528834",,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298621,"675,965.71",0.9347920%,1.0279558%,NA,"84,625.9801495",,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298585,"666,667.00",0.9219328%,1.0138151%,NA,"83,461.8499808",,Contract
0xdfc423a316b2f4ee73632f7c2edf2f6328537e8b,87795250,"600,000.00",0.8297391%,0.9124331%,NA,"75,115.6274249",,EOA
0xa1a7ae2f202c5762f3c4ee2fed99e3f42c6f1f1f,47582599,"439,051.11",0.6071631%,0.6676746%,NA,"54,965.9991233",,EOA
