address,seconds until unlock,amount,share of total,type
0x044325aCCB1A131cD00B4Cef674E9a8d9b60ad72,108359614,4631601.035,0.07043377075,Contract
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298435,1000000,0.01520721889,Contract
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298585,666667,0.010138151,Contract
0xBC59a167a5A56FB07f3Cf6BD3FACe4284D8c6505,92008088,138201.0622,0.002101653804,Contract
0x11cC283d06FA762061df2B0D2f0787651ceef659,84870540,76100,0.001157269358,Contract
0x55c1568efd6d19edec498330952fa7e582fea20a,93542028,15239822.13,0.2317553111,EOA
0xc06320d9028f851c6ce46e43f04aff0a426f446c,95874480,10996244.86,0.1672223026,EOA
0x4f83c87083ccceb90bc105040169f7a0bb74911a,92483262,6001990.419,0.09127358209,EOA
0xdb9d281c3d29baa9587f5dac99dd982156913913,85951772,2200000,0.03345588156,EOA
0x066188948681d38f88441a80e3823dd41155211c,86094182,2140918.069,0.0325574097,EOA
0xe70981f2aeb601a12001465c7a5e52aa76adcbec,88177969,2000000,0.03041443778,EOA
0x312f81f9a90427f9967f476712795d55e3f89e9c,90807620,1476338.684,0.02245100552,EOA
0x5d22db0ddc365dbdc0983441e2906d51855a142d,103935338,1150000,0.01748830172,EOA
0x0f89e880c863d5ad296df064f65fc78f7108ffc8,85967686,1000000,0.01520721889,EOA
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,101291952,774956.2774,0.01178492974,EOA
0x6523a02072d736535148aa67db26f80c2e456547,87614004,706366.6184,0.01074187178,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298621,675965.7055,0.01027955845,EOA
0xdfc423a316b2f4ee73632f7c2edf2f6328537e8b,87795250,600000,0.009124331334,EOA
0xa1a7ae2f202c5762f3c4ee2fed99e3f42c6f1f1f,47582599,439051.1083,0.006676746309,EOA
0x80b3153f39aeec1ef68adc038913698e103e6e1d,87261458,433597.5737,0.006593813214,EOA
0x1ace35d5350da1b71bd7e9e7f5a09ff6cf14d2d6,49145063,420454.5048,0.006393943688,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298720,350000,0.005322526612,EOA
0x044325aCCB1A131cD00B4Cef674E9a8d9b60ad72,107691134,322346.3596,0.00490199165,EOA
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,88856191,308444.8381,0.004690588168,EOA
0xc1d90c0a2d1ab8b58702f2faea4701f00ac505d0,86117442,304892.7288,0.004636570464,EOA
0x9a20a5b173b938f846b00875833af437dd7a1716,100674126,303000.001,0.004607787339,EOA
0xcdf46720bdf30d6bd0912162677c865d4344b0ca,86437861,260692.4102,0.003964406545,EOA
