address,seconds until unlock,distribution amount (BPTs)
0x55c1568efd6d19edec498330952fa7e582fea20a,93542028,"1,907,914.680261630000000000"
0xc06320d9028f851c6ce46e43f04aff0a426f446c,95874480,"1,376,649.728309460000000000"
0x4f83c87083ccceb90bc105040169f7a0bb74911a,92483262,"751,405.464649681000000000"
0x044325aCCB1A131cD00B4Cef674E9a8d9b60ad72,108359614,"579,842.699541199000000000"
0xdb9d281c3d29baa9587f5dac99dd982156913913,85951772,"275,423.968834096000000000"
0x066188948681d38f88441a80e3823dd41155211c,86094182,"268,027.341549879000000000"
0xe70981f2aeb601a12001465c7a5e52aa76adcbec,88177969,"250,385.426212815000000000"
0x312f81f9a90427f9967f476712795d55e3f89e9c,90807620,"184,826.845301102000000000"
0x5d22db0ddc365dbdc0983441e2906d51855a142d,103935338,"143,971.620072369000000000"
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298435,"125,192.713106407000000000"
0x0f89e880c863d5ad296df064f65fc78f7108ffc8,85967686,"125,192.713106407000000000"
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,101291952,"97,018.878905768500000000"
0x6523a02072d736535148aa67db26f80c2e456547,87614004,"88,431.953400074400000000"
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298621,"84,625.980643962000000000"
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298585,"83,461.850468509300000000"
0xdfc423a316b2f4ee73632f7c2edf2f6328537e8b,87795250,"75,115.627863844500000000"
0xa1a7ae2f202c5762f3c4ee2fed99e3f42c6f1f1f,47582599,"54,965.999444516500000000"
0x80b3153f39aeec1ef68adc038913698e103e6e1d,87261458,"54,283.256646915100000000"
0x1ace35d5350da1b71bd7e9e7f5a09ff6cf14d2d6,49145063,"52,637.840191943800000000"
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298720,"43,817.449587242600000000"
0x044325aCCB1A131cD00B4Cef674E9a8d9b60ad72,107691134,"40,355.415322507900000000"
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,88856191,"38,615.046120219700000000"
0xc1d90c0a2d1ab8b58702f2faea4701f00ac505d0,86117442,"38,170.347918876300000000"
0x9a20a5b173b938f846b00875833af437dd7a1716,100674126,"37,933.392197354000000000"
0xcdf46720bdf30d6bd0912162677c865d4344b0ca,86437861,"32,636.790116059900000000"
0x36b13e73b6cdb2dc53b29d3e02066d3bc2016285,35460266,"30,992.636933811400000000"
0xa47dc3c86a77a41b9377fc5f6f6edd1d8f380f41,86107614,"30,390.781492006600000000"
0x5b181e9e67c4f09f5d0229a458db6b0c07f6184e,85697232,"26,795.814004673400000000"
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298670,"25,038.542621281500000000"
0x8a3a27f7ed3594d7c1261e0d16112333d76b3a57,48412906,"23,647.401193243100000000"
0x77c4a515d6779f358d9c70b78c18715ee352cadc,73737746,"22,534.688359153300000000"
0x7da8e2a56901552a1affc74063569e533c6a77dc,97562640,"21,571.304116236000000000"
0xb2dd7f7a0c94364067ade38ab28ad18d124bb329,80759069,"20,361.815612669700000000"
0x94a468fcb53a043bf5cd95ef21892e02c71134be,99416972,"20,293.757054112000000000"
0x680963fe5e628c5486C3A282ca12Aa575820e446,100299023,"19,993.965262739300000000"
0xefc194772a4bdbcdc5871a56e5a86dcfec845788,85437026,"18,470.655880504200000000"
0xa054934e49470cdbfc6b4d886b990bcb2002a9b6,88368556,"18,146.445039483200000000"
0xBC59a167a5A56FB07f3Cf6BD3FACe4284D8c6505,92008088,"17,301.765935087700000000"
0xce5969ab83f70f32d477df7b92cc17fb19f25228,83086719,"17,257.059972467100000000"
0x1d7d6598c766485dc89746fd9bda82c21df128a9,90553123,"16,493.706508583000000000"
0x49e7bdde0e6f366fcc15577ee273af1dd0a578ba,51385552,"15,278.849710081700000000"
0x9cd25036e52f831115c77dcf0e6db69fca56bb04,56414697,"15,103.450189163600000000"
0x670647441d9c24d981923c9293a2e4eae6d0c8b3,77603940,"15,023.125572768900000000"
0x920fa53A88fA26d2658049794a84abc6185e6c69,77732674,"15,020.266291477900000000"
0xe0a46db77fe3932a901214bfa0a1389d3e996332,108396365,"14,959.915715531400000000"
0xc17e91dd86b427135f2694ed6a8bc86ee9d37c06,106172244,"14,538.728058250900000000"
0x8dcb8aae4aa1143531949cb7877235749d32804a,51501247,"14,535.206235623300000000"
0xde8aa7c820d767572837f5e43f385e98978233a4,83087251,"14,506.059922764500000000"
0xed3b439ca1787c1cd1855151c799d520d319d80d,66039168,"14,009.064596607000000000"
0xed8e4430689fe60bdc8a757dcf09bf12f9aff013,77565971,"13,803.811079455600000000"
0xd87ecc7533273877fc5b945453f9dfd32cb95509,86633597,"13,787.315490723600000000"
0xf39bc4acfbcee9c9de828416b5f060fe9f5d34f0,67670541,"13,487.111430259200000000"
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298643,"12,572.343361424000000000"
0x284f36888fa58a0a36b132331a26f44f86487afd,87990451,"12,519.271310640700000000"
0xa580a81c881869cc4763968754683f764754902a,60950258,"12,519.271310640700000000"
0x6320d43fe9939efad4d48bfcdc63c06bafc2fe3d,40433828,"12,402.716894738700000000"
0x72d4d59f31d0cb4a4213a5dc81fc0108241ecc71,89175823,"12,059.897042526500000000"
0x4afb5daf1f6016ede27ebb838c45a759e0a4e4c4,84796687,"11,654.099442010500000000"
0xf826bc629d859af67736671274bfbf0967e36729,106042288,"11,291.823363555400000000"
0x8252d3c70f532bcb6a27001f3abb460ed7ebb066,79869708,"11,267.344179576700000000"
0x7c9edc93ec8b80b7dd1e548a476c6dcf676549be,81712448,"11,118.705727745100000000"
0xc92980d19e7399911f595053894408ad24380324,84213621,"10,156.705172224400000000"
